name	muscles	etype	equipment	rep_time	video	description
AccordianCrunches	['Abdominals']	strength	[None, 'kettlebell', 'dumbbell']	1.25	https://www.youtube.com/embed/C0VkHmremEw	
AlternateAccordians	['Abdominals']	strength	[None, 'kettlebell', 'dumbbell']	1.25	https://www.youtube.com/embed/C0VkHmremEw	
AlternateJacks	['LowerBack', 'Quadriceps', 'Calves']	cardio	[None]	1.8	https://www.youtube.com/embed/Oah4kesfmEg	
AnkleTaps	['Abdominals']	strength	[None]	0.5	https://www.youtube.com/embed/RBTSI2Xlw_w	
ArnoldPresses	['Shoulders']	strength	['kettlebell', 'dumbbell']	3	https://www.youtube.com/embed/6Z15_WdXmVw	
BackFlies	['MiddleBack']	strength	['band', 'kettlebell', 'dumbbell']	2.25	https://www.youtube.com/embed/QICCsyKVP-g	
BandPullAparts	['MiddleBack']	strength	['band', 'kettlebell', 'dumbbell']	2.75	https://www.youtube.com/embed/stwYTTPXubo	
BearTapPlankPushups	['Chest', 'Triceps', 'Shoulders']	strength	[None]	4.25		
BeastPoseHolds	['Abdominals', 'Quadriceps', 'Shoulders']	strength	[None]		https://www.youtube.com/embed/BNmdrhdLd-0	
BentOverRows	['MiddleBack']	strength	['band', 'kettlebell', 'dumbbell']	1.8	https://www.youtube.com/embed/knB5Q4FN4ck	
BentOverTricepExtensions	['Triceps']	strength	['band', 'kettlebell', 'dumbbell']	2	https://www.youtube.com/embed/DgM0x1ITrsg	
BentOverYs	['MiddleBack', 'Traps']	strength	['band', 'kettlebell', 'dumbbell']	2.25	https://www.youtube.com/embed/iaHBd-M1_B8	
BicycleCrunches	['Abdominals']	cardio	[None]	1	https://www.youtube.com/embed/1we3bh9uhqY	
BirdDogs	['Abdominals']	strength	[None]	1.85	https://www.youtube.com/embed/wiFNA3sqjCA	
BoatHold	['Abdominals']	strength	[None, 'kettlebell', 'dumbbell']		https://www.youtube.com/embed/VN-6jygZ094	
BridgePulses	['LowerBack', 'Glutes', 'Hamstrings']	strength	[None, 'kettlebell', 'dumbbell']		https://www.youtube.com/embed/gKH_fUmTfm0	
Bridges	['LowerBack', 'Glutes', 'Hamstrings']	strength	[None, 'kettlebell', 'dumbbell']	1.25	https://www.youtube.com/embed/XUcAuYd7VU0	
Burpees	['Quadriceps', 'Chest', 'Shoulders']	cardio	[None]	3	https://www.youtube.com/embed/auBLPXO8Fww	
BurpeesToPresses	['Quadriceps', 'Shoulders']	cardio	['kettlebell', 'dumbbell']	4	https://www.youtube.com/embed/QqChlq6GnSc	
BurpeesWithPushups	['Quadriceps', 'Chest', 'Shoulders']	cardio	[None]	3.75	https://www.youtube.com/embed/Qe9aeEfgQTM	
BusDrivers	['Shoulders']	strength	['dumbbell']		https://www.youtube.com/embed/4BK0s8kNsfw	
ButterflyCrunches	['Abdominals']	strength	[None, 'kettlebell', 'dumbbell']	1	https://www.youtube.com/embed/SuOidepK5xM	
CalfRaises	['Calves']	strength	[None, 'kettlebell', 'dumbbell']	1.5	https://www.youtube.com/embed/eMTy3qylqnE	
ChaturangaPushUps	['Chest', 'Triceps', 'Shoulders']	strength	[None]	2.25	https://www.youtube.com/embed/cH0B9P0G4qQ	
ChestFlies	['Chest']	strength	['band', 'kettlebell', 'dumbbell']	2.5	https://www.youtube.com/embed/QENKPHhQVi4	
CircleCurls	['Biceps']	strength	['kettlebell', 'dumbbell']	4	https://www.youtube.com/embed/4lUyApEGnvk	
Clams	['Abductors', 'Glutes']	strength	[None, 'band']	1.25	https://www.youtube.com/embed/jF6iE0shJKk	
ClappingPushUps	['Chest', 'Triceps', 'Shoulders']	strength	[None]	3	https://www.youtube.com/embed/EYwWCgM198U	
CrabKickTricepDips	['Hamstrings', 'LowerBack', 'Triceps']	strength	[None]	1.75	https://www.youtube.com/embed/KKWqRt6IgL0	
Crunches	['Abdominals']	strength	[None, 'kettlebell', 'dumbbell']	1	https://www.youtube.com/embed/O0pIQ2UqeCY	
CurlPulses	['Biceps']	strength	['band', 'kettlebell', 'dumbbell']		https://www.youtube.com/embed/bCrayRbz-R0	
Curls	['Biceps']	strength	['band', 'kettlebell', 'dumbbell']	2		
CurtsyLunges	['Quadriceps']	strength	[None, 'kettlebell', 'dumbbell']	3.25	https://www.youtube.com/embed/1MgFup8A_0c	
DeadBugs	['Abdominals']	strength	[None]	1.25	https://www.youtube.com/embed/zechBkcIMf0	
DeadLifts	['LowerBack', 'Hamstrings']	strength	['band', 'kettlebell', 'dumbbell']	2.8		
DeadliftToLunges	['Hamstrings', 'LowerBack', 'Quadriceps']	strength	[None, 'band', 'kettlebell', 'dumbbell']	5		
DeclinePushUps	['Chest', 'Triceps', 'Shoulders']	strength	[None]	2.25		
DiamondSquatJumps	['Quadriceps']	cardio	[None, 'kettlebell', 'dumbbell']	4.75		
Dips	['Triceps', 'Chest']	strength	[None]	2.25		
DiveBombPushUps	['Chest', 'Triceps', 'Shoulders']	strength	[None]	5	https://www.youtube.com/embed/mvNcSF-nXg4	
DonkeyKicks	['Glutes']	strength	[None, 'dumbbell']	1.5	https://www.youtube.com/embed/SJ1Xuz9D-ZQ	
DonkeyKneeToElbows	['Glutes']	strength	[None]	2.5	https://www.youtube.com/embed/Ae3V5gFOTk8	
DonkeyPulses	['Glutes']	strength	[None, 'dumbbell']			
DonkeyRainbows	['Glutes']	strength	[None]	2.75		
DoubleJumpBurpees	['Quadriceps', 'Chest', 'Shoulders']	cardio	[None]	5		
DoubleSquatJumpBurpees	['Quadriceps', 'Shoulders']	cardio	['kettlebell', 'dumbbell']	5.5		
DownDogPushUps	['Shoulders']	strength	[None]	2.5		
DuckWalks	['Glutes', 'Quadriceps']	cardio	['band', 'kettlebell', 'dumbbell']		https://www.youtube.com/embed/qM3GNLKI9rg	
Dumb/kettleBellAroundTheHead	['Shoulders']	strength	['kettlebell', 'dumbbell']	3.5		
DumbbellPullovers	['Lats', 'Shoulders']	strength	['dumbbell', 'kettlebell']	2.25		
FigureEightBoatHold	['Abdominals']	strength	['dumbbell', 'kettlebell']			
FigureEightLegLifts	['Abdominals']	strength	[None]	6		
FireHydrants	['Abductors']	strength	[None, 'dumbbell']	1.25	https://www.youtube.com/embed/hjMEwbXhya4	
FlutterKicks	['Abdominals']	strength	[None]	0.3		
ForearmCurls	['Biceps']	strength	['band', 'kettlebell', 'dumbbell']	2		
FrogPressBridges	['LowerBack', 'Abductors']	strength	[None]	1.25	https://www.youtube.com/embed/aqtXNYdY9VE	
FrontRaises	['Shoulders']	strength	['band', 'kettlebell', 'dumbbell']	3		
GluteBridgeWalkouts	['Hamstrings']	strength	[None]	5	https://www.youtube.com/embed/NaisR71dDxI	
GobletSquats	['Quadriceps', 'Glutes']	strength	['kettlebell', 'dumbbell']	2.25		
GoodMornings	['LowerBack', 'Hamstrings']	strength	['dumbbell', 'kettlebell']	3	https://www.youtube.com/embed/vKPGe8zb2S4	
SingleLegGoodMornings	['LowerBack', 'Hamstrings']	strength	['dumbbell', 'kettlebell']	3	https://www.youtube.com/embed/vKPGe8zb2S4	
HalfBurpees	['Quadriceps', 'Chest', 'Shoulders', 'Abdominals']	cardio	[None]	2.5		
HammerCurls	['Biceps']	strength	['band', 'kettlebell', 'dumbbell']	2		
HighCurls	['Biceps', 'Shoulders']	strength	['band', 'kettlebell', 'dumbbell']	2	https://www.youtube.com/embed/-WKKdI7dhwA	
HighKnees	['Quadriceps']	cardio	[None]	0.5		
HollowBodyRocks	['Abdominals']	strength	[None]			
InchWorms	['Abdominals']	strength	[None]	5	https://www.youtube.com/embed/H_YsTBL4Q-Q	
InchwormTapPushups	['Abdominals', 'Chest', 'Shoulders']	strength	[None]	7		
InnerThighRaises	['Adductors']	strength	[None, 'dumbbell']	1		
